gate	command	platform	duration_seconds	exit_status	log	sha256
go-version	go version	darwin/arm64	0	0	go-version.log	278375c8a03c34bb0f855154850de7c4f217fd3b8cdf37986819e3f05d0a4c33
go-environment	go env GOOS GOARCH GOVERSION	darwin/arm64	0	0	go-environment.log	01b2369ac9df998372b72e5e162592d4055d17ed973959ce983af0673b20f80a
git-status	git status --short --branch	darwin/arm64	0	0	git-status.log	fad88123d13af3ea964906da2b9c10c2f1bf69fb87e48780b4a6850857fdc2e0
install-tools	bash scripts/install-tools.sh	darwin/arm64	1	0	install-tools.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
module-tidy	go mod tidy -diff	darwin/arm64	0	0	module-tidy.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
workflow	actionlint .github/workflows/ci.yml	darwin/arm64	0	0	workflow.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
format	gofmt -l .	darwin/arm64	0	0	format.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
package-list-stdout	go list ./...	darwin/arm64	0	0	packages.log	cd7897245812213de7c0f0023a1e7975c01b65d5750ccb1b2787dbd50d77d729
package-list-stderr	go list ./...	darwin/arm64	0	0	packages.stderr.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
install-package-tools	bash scripts/install-package-tools.sh	darwin/arm64	5	0	install-package-tools.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
test	go test -count=1 ./...	darwin/arm64	0	0	test.log	3f26356317cc6a0f075bc40b55968092937e52bbbe4990482a990637b0c98eaf
test-race	go test -race -count=1 ./...	darwin/arm64	3	0	test-race.log	9cc602ea6bf85e1b504b6b3897b419bf5c79ffba1d940f557959b489ef6a72b5
vet	go vet ./...	darwin/arm64	0	0	vet.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
staticcheck	staticcheck ./...	darwin/arm64	0	0	staticcheck.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
errcheck	errcheck ./...	darwin/arm64	1	0	errcheck.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
nilaway	nilaway ./...	darwin/arm64	2	0	nilaway.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
witness-lint	witness-lint ./...	darwin/arm64	0	0	witness-lint.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
complexity	gocyclo -over 10 --ignore _test.go .	darwin/arm64	0	0	complexity.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
constants	goconst -set-exit-status ./...	darwin/arm64	0	0	constants.log	e2240f089606d842766a1d2e060a2a562dc34c9fd34cc17a7d8852314a0d50af
field-alignment	fieldalignment ./...	darwin/arm64	1	0	field-alignment.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
security	gosec -quiet ./...	darwin/arm64	0	0	security.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
vulnerabilities	govulncheck ./...	darwin/arm64	1	0	vulnerabilities.log	3016e51e4eac0d421674d2128bbbdefb2924b4646e0c14a1ab034977ad73fae5
dead-code	deadcode -test ./...	darwin/arm64	1	0	dead-code.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
benchmark-json-contracts	go test -run ^$ -bench ^Benchmark(DecodeStrictJSON|EncodeValidatedJSON|JSONMarshal|RejectDuplicateJSONFields) -benchmem -count=1 ./core	darwin/arm64	7	0	benchmark-json-contracts.log	459bf580a8bd9cbd021f8b4400f3a7f36c2aa0cddb5b8c03e51e975fcae8173f
fuzz-decode-strict-json-absolute-path	go test -run ^$ -fuzz ^FuzzDecodeStrictJSONAbsolutePathPublicBoundary$ -fuzztime=100000x -parallel=1 ./core	darwin/arm64	7	0	fuzz-decode-strict-json-absolute-path.log	5e41305667e85ee3f5b4f9242a2dcd03316b5f2d65685d8496715b73f810bb2e
fuzz-marshal-json-string	go test -run ^$ -fuzz ^FuzzMarshalJSONStringRoundTrip$ -fuzztime=100000x -parallel=1 ./core	darwin/arm64	5	0	fuzz-marshal-json-string.log	ba197f7ca1520cb877e6385caed318f433194fc8106136c890b772fc3879d1c7
