gate	command	platform	duration_seconds	exit_status	log	sha256
go-version	go version	darwin/arm64	0	0	go-version.log	278375c8a03c34bb0f855154850de7c4f217fd3b8cdf37986819e3f05d0a4c33
go-environment	go env GOOS GOARCH GOVERSION	darwin/arm64	0	0	go-environment.log	01b2369ac9df998372b72e5e162592d4055d17ed973959ce983af0673b20f80a
git-status	git status --short --branch	darwin/arm64	0	0	git-status.log	073e2bec4a3d3134e6724d89f76bfc92acea3f3dd61edac0103f5723ebbf495c
install-tools	bash scripts/install-tools.sh	darwin/arm64	0	0	install-tools.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
module-tidy	go mod tidy -diff	darwin/arm64	0	0	module-tidy.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
workflow	actionlint .github/workflows/ci.yml	darwin/arm64	0	0	workflow.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
format	gofmt -l .	darwin/arm64	0	0	format.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
package-list-stdout	go list ./...	darwin/arm64	0	0	packages.log	cca7eb09d58a3e254647026f843eb51bcacd8a560da2cf8a3435a8e4050074d4
package-list-stderr	go list ./...	darwin/arm64	0	0	packages.stderr.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
install-package-tools	bash scripts/install-package-tools.sh	darwin/arm64	5	0	install-package-tools.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
test	go test -count=1 ./...	darwin/arm64	1	0	test.log	76e783764b407f1e9ae2b9b5634c445b37bd96b0b9f8377f475f31f3b325bef8
test-race	go test -race -count=1 ./...	darwin/arm64	2	0	test-race.log	58826afe711cc4d50df165f01f5a1f1794d1c8b64790181a06533974e5efd54a
vet	go vet ./...	darwin/arm64	0	0	vet.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
staticcheck	staticcheck ./...	darwin/arm64	0	0	staticcheck.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
errcheck	errcheck ./...	darwin/arm64	0	0	errcheck.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
nilaway	nilaway ./...	darwin/arm64	2	0	nilaway.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
witness-lint	witness-lint ./...	darwin/arm64	1	0	witness-lint.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
complexity	gocyclo -over 10 --ignore _test.go .	darwin/arm64	0	0	complexity.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
constants	goconst -set-exit-status ./...	darwin/arm64	0	0	constants.log	e9d1fbe29668af08150b092da440756662199a304d9495a0e83229bd7a324ac4
field-alignment	fieldalignment ./...	darwin/arm64	0	0	field-alignment.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
security	gosec -quiet ./...	darwin/arm64	0	0	security.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
vulnerabilities	govulncheck ./...	darwin/arm64	1	0	vulnerabilities.log	3016e51e4eac0d421674d2128bbbdefb2924b4646e0c14a1ab034977ad73fae5
dead-code	deadcode -test ./...	darwin/arm64	0	0	dead-code.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
benchmark-json-contracts	go test -run ^$ -bench ^Benchmark(EncodeValidatedJSON|JSONMarshal|RejectDuplicateJSONFields) -benchmem -count=1 ./core	darwin/arm64	8	0	benchmark-json-contracts.log	899ee3a4a6bbd01306f6f471002eb6fd23f399d685368e058f205479296f6259
fuzz-decode-strict-json-absolute-path	go test -run ^$ -fuzz ^FuzzDecodeStrictJSONAbsolutePathPublicBoundary$ -fuzztime=100000x -parallel=1 ./core	darwin/arm64	7	0	fuzz-decode-strict-json-absolute-path.log	454132eede82153a573fdcb628dd79632e56b23e13daa13df5b10dc03d631138
